reference_year,sido_code,sido_name,sigungu_code,sigungu_name,admin_dong_code,admin_dong_name,full_name
2025,21,부산광역시,21060,동래구,21060520,복산동,부산광역시 동래구 복산동
2025,21,부산광역시,21060,동래구,21060550,온천1동,부산광역시 동래구 온천1동
2025,21,부산광역시,21060,동래구,21060560,온천2동,부산광역시 동래구 온천2동
2025,21,부산광역시,21060,동래구,21060570,온천3동,부산광역시 동래구 온천3동
2025,21,부산광역시,21060,동래구,21060580,사직1동,부산광역시 동래구 사직1동
2025,21,부산광역시,21060,동래구,21060590,사직2동,부산광역시 동래구 사직2동
2025,21,부산광역시,21060,동래구,21060600,사직3동,부산광역시 동래구 사직3동
2025,21,부산광역시,21060,동래구,21060610,안락1동,부산광역시 동래구 안락1동
2025,21,부산광역시,21060,동래구,21060620,안락2동,부산광역시 동래구 안락2동
2025,21,부산광역시,21060,동래구,21060630,명장1동,부산광역시 동래구 명장1동
2025,21,부산광역시,21060,동래구,21060640,명장2동,부산광역시 동래구 명장2동
2025,21,부산광역시,21060,동래구,21060650,명륜동,부산광역시 동래구 명륜동
2025,21,부산광역시,21070,남구,21070530,대연3동,부산광역시 남구 대연3동
2025,21,부산광역시,21070,남구,21070540,대연4동,부산광역시 남구 대연4동
2025,21,부산광역시,21070,남구,21070550,대연5동,부산광역시 남구 대연5동
2025,21,부산광역시,21070,남구,21070560,대연6동,부산광역시 남구 대연6동
2025,21,부산광역시,21070,남구,21070570,용호1동,부산광역시 남구 용호1동
2025,21,부산광역시,21070,남구,21070580,용호2동,부산광역시 남구 용호2동
2025,21,부산광역시,21070,남구,21070590,용호3동,부산광역시 남구 용호3동
2025,21,부산광역시,21070,남구,21070600,용호4동,부산광역시 남구 용호4동
2025,21,부산광역시,21070,남구,21070610,용당동,부산광역시 남구 용당동
2025,21,부산광역시,21070,남구,21070620,감만1동,부산광역시 남구 감만1동
2025,21,부산광역시,21070,남구,21070630,감만2동,부산광역시 남구 감만2동
2025,21,부산광역시,21070,남구,21070660,문현1동,부산광역시 남구 문현1동
2025,21,부산광역시,21070,남구,21070670,문현2동,부산광역시 남구 문현2동
2025,21,부산광역시,21070,남구,21070680,문현3동,부산광역시 남구 문현3동
2025,21,부산광역시,21070,남구,21070690,문현4동,부산광역시 남구 문현4동
2025,21,부산광역시,21070,남구,21070700,대연1동,부산광역시 남구 대연1동
2025,21,부산광역시,21070,남구,21070710,우암동,부산광역시 남구 우암동
2025,21,부산광역시,21080,북구,21080510,구포1동,부산광역시 북구 구포1동
2025,21,부산광역시,21080,북구,21080520,구포2동,부산광역시 북구 구포2동
2025,21,부산광역시,21080,북구,21080530,구포3동,부산광역시 북구 구포3동
2025,21,부산광역시,21080,북구,21080540,금곡동,부산광역시 북구 금곡동
2025,21,부산광역시,21080,북구,21080550,화명1동,부산광역시 북구 화명1동
2025,21,부산광역시,21080,북구,21080560,덕천1동,부산광역시 북구 덕천1동
2025,21,부산광역시,21080,북구,21080570,덕천2동,부산광역시 북구 덕천2동
2025,21,부산광역시,21080,북구,21080580,덕천3동,부산광역시 북구 덕천3동
2025,21,부산광역시,21080,북구,21080590,만덕1동,부산광역시 북구 만덕1동
2025,21,부산광역시,21080,북구,21080600,만덕2동,부산광역시 북구 만덕2동
2025,21,부산광역시,21080,북구,21080610,만덕3동,부산광역시 북구 만덕3동
2025,21,부산광역시,21080,북구,21080620,화명2동,부산광역시 북구 화명2동
2025,21,부산광역시,21080,북구,21080630,화명3동,부산광역시 북구 화명3동
2025,21,부산광역시,21090,해운대구,21090530,중1동,부산광역시 해운대구 중1동
2025,21,부산광역시,21090,해운대구,21090540,중2동,부산광역시 해운대구 중2동
2025,21,부산광역시,21090,해운대구,21090560,송정동,부산광역시 해운대구 송정동
2025,21,부산광역시,21090,해운대구,21090580,반여2동,부산광역시 해운대구 반여2동
2025,21,부산광역시,21090,해운대구,21090590,반여3동,부산광역시 해운대구 반여3동
2025,21,부산광역시,21090,해운대구,21090620,반송2동,부산광역시 해운대구 반송2동
2025,21,부산광역시,21090,해운대구,21090640,재송1동,부산광역시 해운대구 재송1동
2025,21,부산광역시,21090,해운대구,21090650,재송2동,부산광역시 해운대구 재송2동
2025,21,부산광역시,21090,해운대구,21090660,좌1동,부산광역시 해운대구 좌1동
2025,21,부산광역시,21090,해운대구,21090670,좌2동,부산광역시 해운대구 좌2동
2025,21,부산광역시,21090,해운대구,21090680,좌3동,부산광역시 해운대구 좌3동
2025,21,부산광역시,21090,해운대구,21090690,좌4동,부산광역시 해운대구 좌4동
2025,21,부산광역시,21090,해운대구,21090700,반여1동,부산광역시 해운대구 반여1동
