admin_dong_code,sigungu_name,admin_dong_name,major_category,major_category_label,major_category_weight,category,category_label,category_score_0_100,triggered_indicator_count,triggered_indicators,policy_review_status,category_confidence
21060600,동래구,사직3동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,84.878049,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21060650,동래구,명륜동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,84.390244,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21060560,동래구,온천2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,83.902439,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21060580,동래구,사직1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,83.414634,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21020570,서구,서대신4동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,82.926829,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21050810,부산진구,가야1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,82.439024,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21030520,동구,초량2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,81.95122,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21060550,동래구,온천1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,81.463415,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21030550,동구,초량6동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,80.97561,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21020530,서구,동대신3동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,80.487805,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21130510,연제구,거제1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,80.0,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21130520,연제구,거제2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,79.512195,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21050550,부산진구,초읍동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,79.02439,1,연평균 PM2.5 IDW 추정,candidate_after_validation,low
21130590,연제구,연산5동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,78.536585,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21050680,부산진구,당감2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,78.04878,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21130530,연제구,거제3동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,77.560976,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21130540,연제구,거제4동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,77.073171,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21030510,동구,초량1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,76.585366,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21060590,동래구,사직2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,76.097561,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21130580,연제구,연산4동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,75.609756,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21050570,부산진구,양정2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,75.121951,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21100570,사하구,하단2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,74.634146,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21130550,연제구,연산1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,74.146341,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21060520,동래구,복산동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,73.658537,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21060510,동래구,수민동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,73.170732,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21030680,동구,범일5동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,72.682927,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21030600,동구,수정5동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,72.195122,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21130560,연제구,연산2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,71.707317,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21010590,중구,영주1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,71.219512,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21100550,사하구,당리동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,70.731707,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21010600,중구,영주2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,70.243902,1,연평균 PM2.5 IDW 추정,candidate_after_validation,medium_low
21130620,연제구,연산8동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,69.756098,0,,monitor,medium_low
21130600,연제구,연산6동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,69.268293,0,,monitor,medium_low
21050540,부산진구,연지동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,68.780488,0,,monitor,medium_low
21020520,서구,동대신2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,68.292683,0,,monitor,medium_low
