admin_dong_code,sigungu_name,admin_dong_name,category,category_label,major_category,major_category_label,major_category_weight,indicator,indicator_label,raw_or_derived_value,deprivation_percentile_0_100,within_category_weight,weighted_score,evidence_type,value_status_ko,estimate_used,estimation_method_ko,estimation_reason,confidence_level,quality_note,indicator_policy_triggered
21020540,서구,서대신1동,income_support_need,소득·복지수요,socioeconomic_base,사회·경제,0.5,basic_livelihood_recipients_per_1000_population_2025_inferred,추정 기초생활수급자율,61.221669,31.707317,1.0,31.707317,inferred,추정값,True,구·군 총계의 행정동 배분 추정,공개된 2025 행정동별 관측 수급자 수가 없어 구·군 관측 총계를 행정동 특성 패턴으로 배분함,low,구·군 관측 총계를 행정동 패턴으로 배분한 추정값,False
21020560,서구,서대신3동,income_support_need,소득·복지수요,socioeconomic_base,사회·경제,0.5,basic_livelihood_recipients_per_1000_population_2025_inferred,추정 기초생활수급자율,52.33361,21.95122,1.0,21.95122,inferred,추정값,True,구·군 총계의 행정동 배분 추정,공개된 2025 행정동별 관측 수급자 수가 없어 구·군 관측 총계를 행정동 특성 패턴으로 배분함,low,구·군 관측 총계를 행정동 패턴으로 배분한 추정값,False
21020570,서구,서대신4동,income_support_need,소득·복지수요,socioeconomic_base,사회·경제,0.5,basic_livelihood_recipients_per_1000_population_2025_inferred,추정 기초생활수급자율,53.542849,24.390244,1.0,24.390244,inferred,추정값,True,구·군 총계의 행정동 배분 추정,공개된 2025 행정동별 관측 수급자 수가 없어 구·군 관측 총계를 행정동 특성 패턴으로 배분함,low,구·군 관측 총계를 행정동 패턴으로 배분한 추정값,False
21020590,서구,부민동,income_support_need,소득·복지수요,socioeconomic_base,사회·경제,0.5,basic_livelihood_recipients_per_1000_population_2025_inferred,추정 기초생활수급자율,102.23202,64.390244,1.0,64.390244,inferred,추정값,True,구·군 총계의 행정동 배분 추정,공개된 2025 행정동별 관측 수급자 수가 없어 구·군 관측 총계를 행정동 특성 패턴으로 배분함,low,구·군 관측 총계를 행정동 패턴으로 배분한 추정값,False
21020610,서구,아미동,income_support_need,소득·복지수요,socioeconomic_base,사회·경제,0.5,basic_livelihood_recipients_per_1000_population_2025_inferred,추정 기초생활수급자율,235.101506,95.121951,1.0,95.121951,inferred,추정값,True,구·군 총계의 행정동 배분 추정,공개된 2025 행정동별 관측 수급자 수가 없어 구·군 관측 총계를 행정동 특성 패턴으로 배분함,low,구·군 관측 총계를 행정동 패턴으로 배분한 추정값,True
21020630,서구,초장동,income_support_need,소득·복지수요,socioeconomic_base,사회·경제,0.5,basic_livelihood_recipients_per_1000_population_2025_inferred,추정 기초생활수급자율,309.611568,98.536585,1.0,98.536585,inferred,추정값,True,구·군 총계의 행정동 배분 추정,공개된 2025 행정동별 관측 수급자 수가 없어 구·군 관측 총계를 행정동 특성 패턴으로 배분함,low,구·군 관측 총계를 행정동 패턴으로 배분한 추정값,True
21020640,서구,충무동,income_support_need,소득·복지수요,socioeconomic_base,사회·경제,0.5,basic_livelihood_recipients_per_1000_population_2025_inferred,추정 기초생활수급자율,119.711487,73.658537,1.0,73.658537,inferred,추정값,True,구·군 총계의 행정동 배분 추정,공개된 2025 행정동별 관측 수급자 수가 없어 구·군 관측 총계를 행정동 특성 패턴으로 배분함,low,구·군 관측 총계를 행정동 패턴으로 배분한 추정값,True
21020650,서구,남부민1동,income_support_need,소득·복지수요,socioeconomic_base,사회·경제,0.5,basic_livelihood_recipients_per_1000_population_2025_inferred,추정 기초생활수급자율,189.150607,89.268293,1.0,89.268293,inferred,추정값,True,구·군 총계의 행정동 배분 추정,공개된 2025 행정동별 관측 수급자 수가 없어 구·군 관측 총계를 행정동 특성 패턴으로 배분함,low,구·군 관측 총계를 행정동 패턴으로 배분한 추정값,True
21020680,서구,암남동,income_support_need,소득·복지수요,socioeconomic_base,사회·경제,0.5,basic_livelihood_recipients_per_1000_population_2025_inferred,추정 기초생활수급자율,79.224948,46.829268,1.0,46.829268,inferred,추정값,True,구·군 총계의 행정동 배분 추정,공개된 2025 행정동별 관측 수급자 수가 없어 구·군 관측 총계를 행정동 특성 패턴으로 배분함,low,구·군 관측 총계를 행정동 패턴으로 배분한 추정값,False
21020690,서구,남부민2동,income_support_need,소득·복지수요,socioeconomic_base,사회·경제,0.5,basic_livelihood_recipients_per_1000_population_2025_inferred,추정 기초생활수급자율,171.369863,87.804878,1.0,87.804878,inferred,추정값,True,구·군 총계의 행정동 배분 추정,공개된 2025 행정동별 관측 수급자 수가 없어 구·군 관측 총계를 행정동 특성 패턴으로 배분함,low,구·군 관측 총계를 행정동 패턴으로 배분한 추정값,True
